iter	F1	Logloss
0	0.7493380406	0.6822795522
1	0.7569060773	0.6714937431
2	0.7685185185	0.6611509609
3	0.7780341486	0.6504823935
4	0.7763401109	0.6403914965
5	0.7826896231	0.6308856412
6	0.7781441357	0.6225327474
7	0.7760910816	0.6137615068
8	0.7769376181	0.6054910973
9	0.7693040991	0.5971234608
10	0.7648183556	0.5891052631
11	0.7738153395	0.5815861237
12	0.7776155718	0.5734235318
13	0.7731256086	0.5662544377
14	0.7776699029	0.5587853115
15	0.7764365041	0.5514086536
16	0.7827352085	0.5433504268
17	0.7836144578	0.5364028461
18	0.7819329772	0.5300779104
19	0.7790189412	0.5239948292
20	0.7812197483	0.5171614111
21	0.7764820214	0.5113570412
22	0.7793336552	0.5047562401
23	0.7793974733	0.4984667148
24	0.77734375	0.4922169854
25	0.7834951456	0.4860880899
26	0.780058651	0.480761924
27	0.7818003914	0.4748205312
28	0.7865824016	0.469113575
29	0.7826510721	0.4642655664
30	0.7856450048	0.4588104487
31	0.787409201	0.4537615012
32	0.7891682785	0.4490417912
33	0.7924528302	0.4446183344
34	0.7891420262	0.4397697194
35	0.7893719807	0.4352286477
36	0.7938194109	0.430508098
37	0.7914852443	0.4268141239
38	0.7905405405	0.4225444856
39	0.7934520944	0.4181747276
40	0.7965451056	0.4134938805
41	0.7940183309	0.4093663037
42	0.7938342967	0.4053118338
43	0.7926534558	0.4019870332
44	0.793804453	0.3980916069
45	0.7904946654	0.3951192776
46	0.7909002904	0.3920849451
47	0.7896786758	0.3884028678
48	0.7941463415	0.3849062403
49	0.7931372549	0.3813965497
50	0.7931372549	0.3781330058
51	0.7911764706	0.3748216649
52	0.7907662083	0.3720010779
53	0.7879396985	0.3695125277
54	0.7865055388	0.3669805193
55	0.7834525026	0.3645031661
56	0.7858227848	0.3619721608
57	0.7857142857	0.3594893257
58	0.7858994298	0.3565992942
59	0.785492228	0.3541948379
60	0.7834196891	0.3520777006
61	0.7863070539	0.3495312061
62	0.7774294671	0.3470445221
63	0.7858994298	0.3445323884
64	0.7871569135	0.3424127784
65	0.7766179541	0.3401096781
66	0.7778936392	0.3377807081
67	0.7768508863	0.3355735051
68	0.7837837838	0.3332191087
69	0.7856399584	0.331001082
70	0.7845993757	0.3291049682
71	0.7807933194	0.3270757971
72	0.7805642633	0.325297135
73	0.7831074035	0.3233876082
74	0.7836990596	0.3212923749
75	0.7866458007	0.3193899862
76	0.7843342037	0.3176829147
77	0.7868681605	0.3157038267
78	0.7847439916	0.3138734018
79	0.784375	0.3123687155
80	0.7851929093	0.3107755265
81	0.7845592071	0.3089245272
82	0.7849686848	0.3078422
83	0.7836990596	0.3061953821
84	0.7832898172	0.3045000907
85	0.7851542081	0.3028576816
86	0.7838827839	0.3016520711
87	0.7847439916	0.2999988616
88	0.7834728033	0.2985665824
89	0.7845188285	0.2970322708
90	0.7821989529	0.2956309232
91	0.7845188285	0.294464572
92	0.7802313354	0.29332619
93	0.7794117647	0.2920870818
94	0.7802313354	0.2900887257
95	0.7804621849	0.2889488974
96	0.7855648536	0.2878015344
97	0.7839248434	0.2865486633
98	0.7849686848	0.2853332555
99	0.7856025039	0.2842044141
100	0.7864229765	0.2828451252
101	0.7870563674	0.2819337384
102	0.7856025039	0.2810682358
103	0.7901878914	0.2797425844
104	0.7872451647	0.2786926818
105	0.7910369984	0.2777018665
106	0.789994789	0.2762817873
107	0.7914494265	0.2752256563
108	0.790818988	0.2742305022
109	0.7918622848	0.2732680992
110	0.790625	0.272261818
111	0.7912545549	0.2713194063
112	0.7927083333	0.2701659783
113	0.7927083333	0.2691408256
114	0.7927083333	0.2681143899
115	0.7912317328	0.267329249
116	0.7947916667	0.2663709282
117	0.7914270779	0.2654803491
118	0.7933194154	0.2645420896
119	0.792689295	0.2637579984
120	0.7943779282	0.2628943853
121	0.7943632568	0.2620428557
122	0.7950052029	0.2613209309
123	0.7954190526	0.260444488
124	0.7943632568	0.2597228899
125	0.795620438	0.2588746727
126	0.7941636269	0.2581961129
127	0.7929055816	0.2573531909
128	0.7947916667	0.2564968092
129	0.7941636269	0.2557352986
130	0.7951933124	0.2549259675
131	0.7949921753	0.2539104255
132	0.7949921753	0.2530386714
133	0.7964509395	0.2521617386
134	0.7964509395	0.2514582422
135	0.7964509395	0.2507974576
136	0.7987486966	0.2500987666
137	0.7989583333	0.2493534682
138	0.8002086594	0.2486721092
139	0.8	0.248082752
140	0.8012454593	0.2473773428
141	0.8029045643	0.2466956572
142	0.8029045643	0.2461112686
143	0.8055987558	0.2454833051
144	0.8053969901	0.2446801091
145	0.8066355625	0.2438921222
146	0.8060165975	0.2432672379
147	0.8078715691	0.2426977087
148	0.8093264249	0.2418274941
149	0.8080912863	0.2412749002
150	0.8087091757	0.2406889954
151	0.8089304258	0.2401217988
152	0.809548521	0.2395087879
153	0.809548521	0.2389000926
154	0.8091286307	0.2382523945
155	0.8101659751	0.2375570392
156	0.8109787675	0.2368920325
157	0.8103626943	0.2364062939
158	0.8109787675	0.2357667835
159	0.8115942029	0.2349582922
160	0.8134366925	0.2345184845
161	0.8111743404	0.2340295734
162	0.8132436627	0.2331725386
163	0.8142783238	0.232545205
164	0.8151216986	0.2319918647
165	0.8134366925	0.2315306194
166	0.814699793	0.2308931619
167	0.8165374677	0.2304197399
168	0.8181818182	0.2299220579
169	0.8177594218	0.2292735666
170	0.8173374613	0.2287371617
171	0.818556701	0.2281094082
172	0.8179473956	0.2276341901
173	0.8195876289	0.2268324636
174	0.8191653787	0.2264422259
175	0.818556701	0.2260322068
176	0.8185089974	0.2255686055
177	0.8209876543	0.2250507456
178	0.8197226502	0.2245560261
179	0.8201438849	0.2241268789
180	0.8228630278	0.223533486
181	0.8214101904	0.2231501297
182	0.8220164609	0.2226460094
183	0.8201438849	0.2221218279
184	0.8219599795	0.2217667206
185	0.8221993834	0.2214033323
186	0.8215938303	0.2210593286
187	0.8211716341	0.2206423814
188	0.8221993834	0.2202269271
189	0.8232271326	0.2196907788
190	0.8224395265	0.2193208123
191	0.8224395265	0.2189555811
192	0.8224395265	0.2186653229
193	0.8232869655	0.2181796776
194	0.8243173622	0.2178076349
195	0.8244981987	0.2173220829
196	0.8257069409	0.2168777498
197	0.8263103803	0.2164400649
198	0.8264887064	0.2160408229
199	0.8264887064	0.2157171837
200	0.8260646485	0.2150664298
201	0.8270908158	0.214675982
202	0.8264887064	0.2143023298
203	0.8264208909	0.2139009884
204	0.8262429523	0.2136264526
205	0.8268442623	0.2132744945
206	0.825217837	0.2128727798
207	0.8246153846	0.2126389031
208	0.8250384813	0.2123422767
209	0.828469022	0.2118378065
210	0.8286445013	0.2114725286
211	0.8264208909	0.2111117762
212	0.8280450358	0.2107126275
213	0.8292433538	0.2102018123
214	0.8296675192	0.209770519
215	0.8296675192	0.2094809373
216	0.8308635667	0.2092083844
217	0.8292433538	0.2088891308
218	0.8270214944	0.2086070371
219	0.8286445013	0.208284471
220	0.8276214834	0.2079302968
221	0.8276214834	0.2076337637
222	0.8296675192	0.2072988343
223	0.8286445013	0.2068128158
224	0.8302658487	0.2064861674
225	0.832057172	0.2061325764
226	0.831036243	0.2055234379
227	0.8316326531	0.2052714827
228	0.8316326531	0.2049687213
229	0.8316326531	0.2046912696
230	0.8318042813	0.2042965997
231	0.8318042813	0.2040476771
232	0.8312085671	0.2037844316
233	0.8316326531	0.2034560105
234	0.8323993887	0.203055812
235	0.8328236493	0.2028214221
236	0.8334182374	0.2022350507
237	0.8328236493	0.2019193195
238	0.8328236493	0.2016827601
239	0.8328236493	0.2013823547
240	0.8328236493	0.2010395641
241	0.8328236493	0.200762649
242	0.8334182374	0.2004008236
243	0.8334182374	0.2001260546
244	0.8334182374	0.1997651389
245	0.83401222	0.1995175692
246	0.83401222	0.1992172804
247	0.83401222	0.1989084073
248	0.8334182374	0.198646888
249	0.834605598	0.1983421205
250	0.8347737672	0.1973329001
251	0.8341810783	0.1971103837
252	0.8341810783	0.1968706518
253	0.8341810783	0.1966125617
254	0.8335877863	0.1963039218
255	0.8353658537	0.1959662165
256	0.8353658537	0.1955063592
257	0.8359573388	0.1952100011
258	0.8359573388	0.1950176931
259	0.8353658537	0.194732252
260	0.8385124809	0.1944655774
261	0.8396946565	0.1941888606
262	0.8379888268	0.1938804424
263	0.8411405295	0.1935969957
264	0.8421588595	0.193304055
265	0.8421588595	0.1931187101
266	0.8419979613	0.1927548902
267	0.8419979613	0.1925879387
268	0.8409785933	0.1924017074
269	0.8414074452	0.1920758172
270	0.844783715	0.1919174967
271	0.843495935	0.1916204621
272	0.8445121951	0.1914550268
273	0.845099035	0.1911880024
274	0.844083291	0.1909261799
275	0.845099035	0.1906536969
276	0.8461147791	0.1903794994
277	0.8455284553	0.1901537638
278	0.8461147791	0.1899394584
279	0.8467005076	0.1897022343
280	0.8481462671	0.1894368194
281	0.8475609756	0.1892144779
282	0.8481462671	0.1889686227
283	0.8487309645	0.188663132
284	0.8487309645	0.1884487334
285	0.8487309645	0.1882972477
286	0.8487309645	0.1881495643
287	0.8491620112	0.187926488
288	0.8485772358	0.1877078554
289	0.8481462671	0.1874945181
290	0.8481462671	0.1873170228
291	0.8487309645	0.1870851639
292	0.8487309645	0.1868389705
293	0.8491620112	0.1866832743
294	0.8503297818	0.186457387
295	0.8498985801	0.1862248166
296	0.8498985801	0.1861005302
297	0.8503297818	0.1859813875
298	0.8503297818	0.1858515143
299	0.8503297818	0.1857187135
300	0.8503297818	0.1852916307
301	0.8503297818	0.1850986346
302	0.8503297818	0.1849486302
303	0.8503297818	0.1847338816
304	0.851495185	0.1846024571
305	0.852077001	0.184469808
306	0.8526582278	0.1842202672
307	0.8535225545	0.1838742924
308	0.8529411765	0.1837568525
309	0.8523592085	0.1835774561
310	0.8523592085	0.1834493557
311	0.8535225545	0.1832144876
312	0.8535225545	0.1830041945
313	0.8535225545	0.1829061743
314	0.8529411765	0.1827834742
315	0.8529411765	0.1826123471
316	0.8529411765	0.1824663666
317	0.8529411765	0.1822958344
318	0.8529411765	0.1821528748
319	0.8523592085	0.1819338807
320	0.8523592085	0.1817400214
321	0.8523592085	0.1815869962
322	0.8519269777	0.1813594061
323	0.8519269777	0.1812259055
324	0.8519269777	0.1811073109
325	0.8519269777	0.1809549505
326	0.8519269777	0.1808400766
327	0.8525088697	0.1806279289
328	0.8516455696	0.1804325185
329	0.8525088697	0.1802419833
330	0.8516455696	0.1801247067
331	0.8522267206	0.1799163381
332	0.8522267206	0.1797085293
333	0.8522267206	0.1795891299
334	0.8536708861	0.179380493
335	0.8533872599	0.1791757168
336	0.8528072838	0.1790326055
337	0.8541033435	0.1788003966
338	0.8542510121	0.1784613384
339	0.8532388664	0.1782486192
340	0.8541033435	0.1780754627
341	0.8532388664	0.1778755035
342	0.8532388664	0.1777685608
343	0.8532388664	0.1775499166
344	0.8532388664	0.1773896832
345	0.855549924	0.1771550834
346	0.855549924	0.1770359873
347	0.855549924	0.1769436939
348	0.855549924	0.17671783
349	0.8551165147	0.1765632651
350	0.8542510121	0.17642805
351	0.8571428571	0.1761323684
352	0.8571428571	0.1758417836
353	0.8567103935	0.1756268018
354	0.857286939	0.1754407454
355	0.8577194753	0.1752835913
356	0.8577194753	0.1751863992
357	0.8577194753	0.1750817775
358	0.8577194753	0.1749442064
359	0.8565656566	0.1747531814
360	0.8571428571	0.1745945693
361	0.8582955119	0.1745139861
362	0.8577194753	0.1743586981
363	0.8577194753	0.1742784532
364	0.8571428571	0.1741265943
365	0.8571428571	0.1739204883
366	0.8565656566	0.1738075272
367	0.8577194753	0.173619768
368	0.8577194753	0.1734583684
