iter	Passed	Remaining
0	60	301330
1	115	287972
2	170	283549
3	219	273970
4	276	275939
5	344	286965
6	405	288931
7	466	290950
8	523	290294
9	571	285029
10	618	280586
11	678	281853
12	741	284484
13	799	284601
14	863	287060
15	913	284549
16	984	288705
17	1044	288978
18	1095	287200
19	1165	290327
20	1231	291870
21	1295	293177
22	1349	291944
23	1413	293084
24	1476	293765
25	1538	294327
26	1591	293084
27	1690	300176
28	1762	302070
29	1814	300683
30	1864	298938
31	1922	298493
32	1975	297315
33	2027	296158
34	2079	295010
35	2129	293624
36	2194	294422
37	2264	295671
38	2320	295149
39	2368	293706
40	2430	293970
41	2482	293050
42	2553	294385
43	2635	296831
44	2695	296819
45	2749	296060
46	2828	298029
47	2879	297071
48	2930	296109
49	2991	296174
50	3055	296520
51	3111	296093
52	3162	295195
53	3225	295398
54	3278	294771
55	3332	294245
56	3392	294158
57	3444	293471
58	3499	293092
59	3562	293286
60	3622	293340
61	3677	292924
62	3732	292528
63	3788	292196
64	3849	292264
65	3903	291819
66	3975	292676
67	4035	292709
68	4092	292441
69	4142	291756
70	4192	291068
71	4243	290433
72	4291	289622
73	4343	289132
74	4400	288955
75	4462	289104
76	4515	288678
77	4582	289147
78	4632	288578
79	4680	287822
80	4727	287084
81	4773	286296
82	4817	285408
83	4875	285321
84	4929	285030
85	4981	284650
86	5036	284408
87	5097	284520
88	5152	284319
89	5204	283949
90	5259	283735
91	5308	283189
92	5371	283431
93	5433	283570
94	5498	283882
95	5561	284111
96	5612	283688
97	5674	283819
98	5724	283405
99	5785	283508
100	5837	283171
101	5889	282823
102	5934	282169
103	5982	281654
104	6035	281364
105	6100	281637
106	6159	281686
107	6208	281221
108	6257	280772
109	6305	280322
110	6357	279996
111	6403	279473
112	6452	279061
113	6499	278566
114	6547	278138
115	6598	277802
116	6645	277364
117	6691	276859
118	6739	276412
119	6784	275922
120	6835	275617
121	6904	276079
122	6956	275842
123	7003	275396
124	7050	274960
125	7102	274749
126	7151	274390
127	7201	274103
128	7257	274031
129	7306	273725
130	7354	273355
131	7400	272907
132	7448	272587
133	7502	272439
134	7553	272216
